supraregion	method	hemi	index	name	color	opacity
Hypothalamus	I	lh	801	hypo-lh-anterior-inferior	#faff32	1
Hypothalamus	I	lh	802	hypo-lh-anterior-superior	#50c8ff	1
Hypothalamus	I	lh	803	hypo-lh-posterior	#ffa000	1
Hypothalamus	I	lh	804	hypo-lh-tubular-inferior	#ffa0c8	1
Hypothalamus	I	lh	805	hypo-lh-tubular-superior	#14b482	1
Hypothalamus	I	rh	806	hypo-rh-anterior-inferior	#faff32	1
Hypothalamus	I	rh	807	hypo-rh-anterior-superior	#50c8ff	1
Hypothalamus	I	rh	808	hypo-rh-posterior	#ffa000	1
Hypothalamus	I	rh	809	hypo-rh-tubular-inferior	#ffa0c8	1
Hypothalamus	I	rh	810	hypo-rh-tubular-superior	#14b482	1
Hypothalamus	F	rh	1	hypo-lh-hypothalamus	#e600ffff	1
Hypothalamus	F	rh	2	hypo-rh-hypothalamus	#e600ffff	1